id,title,condition,category_id,category_name,seller_id,seller_nickname,original_price,sale_price,available_quantity,store_pick_up,free_shipping,state_name,city_name
MLB3655023677,Suporte Fundo Infinito+ Bolsa+ 16 Presilhas Fotográfica Pro,new,MLB271836,Câmeras e Acessórios,808787852,USEFULCOMERCIALLTDA,197,159.57,150,False,True,São Paulo,Cravinhos
MLB4587481424,Câmera Descartável Kodak Funsaver Preta/vermelha/amarela,new,MLB1985,Câmeras e Acessórios,833768103,BEMSONJDCOMERCIALLTDABEMSO,,199,1,False,True,São Paulo,São Paulo
MLB4092885690,"Porta Banner C/ Garras 1,80 Suporte Pedestal Imediato",new,MLB103465,Câmeras e Acessórios,152024409,CEPROPLASTBRINDES,72.9,46.65,250,False,False,São Paulo,Cravinhos
MLB4296907580,Binóculo Diurno E Noturno Zoom 30x60 Até 1000m Profissional,new,MLB4063,Câmeras e Acessórios,1282834350,ONLY.L,42.9,35.17,500,False,False,São Paulo,São Paulo
MLB5066959072,Lâmpada Tricool Para Softbox 135w 5500k T-photo 110v,new,MLB38267,Câmeras e Acessórios,175729038,4FITNESS,56.99,49.58,100,False,False,Paraná,Curitiba
MLB3823651577,Filme Instantâneo Fujifilm Instax Mini 40 Fotos - 705065388,new,MLB271703,Câmeras e Acessórios,582029049,SUDESTECOLORFOTOSLTDA,,159,250,False,True,Espírito Santo,Vitória
MLB4667567704,Câmera Instantânea Fujifilm Instax Mini 12 (rosa Gloss,new,MLB1985,Câmeras e Acessórios,1014693031,REP STORE,423,379.9,50,False,True,Santa Catarina,Joinville
MLB5152036776,"Suporte De Mesa Para Celular Para Gravar, Assistir Série",new,MLB103465,Câmeras e Acessórios,1643992138,TRIUNFO_ECOMMERCE,,16.7,250,False,False,São Paulo,São Paulo
MLB3805620551,"Microscópio De Bolso Microbriteplus C/led, 60x-120x Cor Cinza",new,MLB4064,Câmeras e Acessórios,168873882,LOJAE-STORE,197.14,124.19,1,False,True,São Paulo,São Paulo
MLB5019482278,Kit Iluminação Luz Contínua Softbox 50x70 E27 C/ Tripé 2m Para Estúdio Fotográfico T-photo,new,MLB38191,Câmeras e Acessórios,175729038,4FITNESS,,163,200,False,True,Paraná,Curitiba
MLB4610629904,Lens Wipes Zeiss Com 200 Lenços Umedecidos,new,MLB271838,Câmeras e Acessórios,439595320,LABELLA COMÉRCIO,139.9,121.71,250,False,True,São Paulo,São Paulo
MLB4328935786,Filme Instantâneo Instax Com 20 Poses Fujifilm Filmemini20 Cor Branco,new,MLB271703,Câmeras e Acessórios,70201425,A.I.FOTOEOTICA,101.9,91.71,250,False,True,São Paulo,Itu
MLB3772217475,Câmera Instantânea Fujifilm Instax Mini 12 (branco Marfim,new,MLB1985,Câmeras e Acessórios,1743481486,ELETROVALL,457.39,379.91,1,False,True,Espírito Santo,Vitória
MLB3767907703,Rádio Flash Godox Xnano X3-c Ttl Transmissor Para Canon,new,MLB278140,Câmeras e Acessórios,1727417381,DIFU20240315122603,674,599.4,1,False,True,São Paulo,São Paulo
MLB3655184445,Gimbal Portátil Celular Vertical Horizontal L7cpro 3 Eixos Cor Cinza,new,MLB233527,Câmeras e Acessórios,589052842,TECHTS VARIEDADES,,399,1,False,True,São Paulo,Taboão da Serra
MLB4617495586,Binóculo Infantil Profissional Pequeno Longo Alcance 8x21 Uv Cor Verde,new,MLB4063,Câmeras e Acessórios,265226714,DIGGICOM_COMERCIO,,69.27,1,False,False,São Paulo,São Paulo
MLB3428601839,Case Micro E Sd Aluminio Porta Cartão Memoria Estojo Prata Cor Prateado,new,MLB277398,Câmeras e Acessórios,662903109,ITAPE MERCADOS,42.9,34.2,100,False,False,São Paulo,Itapetininga
MLB4786390494,Kit Estúdio Iluminação Fotográfica Tripé E Softbox 50x70,new,MLB271861,Câmeras e Acessórios,621419111,MEUIMPORTADORBRLTDA,139.99,106.19,50,False,True,Santa Catarina,São José
MLB3695117681,Câmera Instantânea Fujifilm Instax Mini 12 Cor Lilás,new,MLB1985,Câmeras e Acessórios,430836867,ARAUMA SHOP,491.99,409.9,50,False,True,São Paulo,São Paulo
MLB4709784006,Zeiss Lens Wipes X100 Lenços Umedecido Limpa Lentes Óculos,new,MLB271838,Câmeras e Acessórios,258966188,GTAGCOMERCIO,,71.06,100,False,False,São Paulo,São Paulo
MLB3593622089,Exbom X600 Profissional Hidráulico 2 Em 1 Monopé 10kg 1.6m,new,MLB103465,Câmeras e Acessórios,1182149733,TACED,,294,50,False,True,São Paulo,Franco da Rocha
MLB3523890715,Luz De Led Para Fotos Vídeos - Rgb Ulanzi Vl49 Rgb No Brasil Cor Da Estrutura Classic Black 110v/220v,new,MLB38267,Câmeras e Acessórios,1039339531,RASK,219.99,167.19,50,False,True,São Paulo,São Paulo
MLB1660097367,Tapa Olho Pirata Neoprene Oclusor Estrabismo Ambliopia,new,MLB4066,Câmeras e Acessórios,471750278,LOJAISOPRENEOFICIAL,24.8,19.95,100,False,False,São Paulo,Jaú
MLB3891249099,Cartão De Memória  Sandisk Sdsqunr-064g-gn3ma  Ultra Com Adaptador Sd 64gb,new,MLB7475,Câmeras e Acessórios,1473251332,VELASSAT,,31.89,1,False,False,São Paulo,São Paulo
MLB3780056919,Câmera Sony Alpha Zv-e10 16/50mm / 3.5-5.6 Oss Lczve10l/ B,new,MLB1042,Câmeras e Acessórios,153685029,VALIMPORTSLTDA,,5559,1,False,True,Paraná,Maringá
MLB3805052575,Cartão Cinza Balanço Branco 3 Em1 18% Grey Card White Balan,new,MLB277790,Câmeras e Acessórios,182386228,LESTEMINAS IMPORTADOS,35.55,31.99,1,False,False,Minas Gerais,Governador Valadares
MLB3735024215,Suporte Clip Rotativo Celular C Rosca 1/4 P Tripé Cor Preto,new,MLB38270,Câmeras e Acessórios,75803531,LOJA_DO_PÃODURO,35.99,27.55,1,False,False,Rio de Janeiro,Rio de Janeiro
MLB3907677353,Tripé Bastão De Selfie Controle Bluetooth P/ Celular Câmera,new,MLB103464,Câmeras e Acessórios,1328306496,CHAN_CHU,,22.9,1,False,False,São Paulo,Jundiaí
MLB1466766591,Kit Lens Wipes Zeiss C/ 300 Lenços Umedecidos,new,MLB271838,Câmeras e Acessórios,439595320,LABELLA COMÉRCIO,,169.9,150,False,True,São Paulo,São Paulo
